CardName,CardType,Description
F.A. Overheat," Trap Card  Normal","If only your opponent controls a monster: Special Summon 1 ""F.A."" monster from your hand, and if you do, increase its Level by 3 until the end of this turn. If this card is in the GY and you control no cards in your Field Zone: You can banish this card from the GY; activate 1 ""F.A."" Field Spell directly from your hand or GY. You can only use this effect of ""F.A. Overheat"" once per turn."
F.A. Winners," Spell Card  Continuous","If you control a ""F.A."" monster, this card cannot be destroyed by your opponent's card effects. When your ""F.A."" monster whose Level is at least 5 higher than its original Level battles an opponent's monster and inflicts battle damage to them: You can banish 1 card from your hand, field, or GY. You can only activate this effect of ""F.A. Winners"" once per turn. If 3 of your ""F.A."" Field Spells with different names are currently banished, and were all banished by the effect of ""F.A. Winners"", you win the Duel."
Fire Fighting Daruma Doll," Link Monster  Beast-Warrior  1500","2 Beast, Beast-Warrior, and/or Winged Beast monsters This card gains 100 ATK for each Beast, Beast-Warrior, and Winged Beast monster on the field. Once per turn: You can target 1 Spell/Trap on each field; destroy them. When this card destroys an opponent's monster by battle: You can target 1 of your Beast, Beast-Warrior, or Winged Beast monsters, that is banished or is in your GY; add it to your hand."
Flower Cardian Moonflowerviewing," Synchro Tuner Monster  Warrior  2000  2000","1 Tuner + 2 non-Tuner monsters Once per turn, during your Main Phase: You can draw 1 card, and if you do, show it, then, if it is a ""Flower Cardian"" monster, you can Special Summon it, ignoring its Summoning conditions, and it can attack directly this turn. If you activated this effect, skip the Draw Phase of your next turn. When this card is used as Synchro Material, you can treat it and all other Synchro Materials (that have a Level) as Level 2 monsters."
Gergonne's End," Trap Card  Normal","Target 1 ""Tindangle"" Link Monster you control; equip this card to it. It cannot be destroyed by battle or card effects, also your opponent cannot target it with card effects. Once per turn, if there are monsters in all zones the equipped monster points to: If there are still monsters in all zones the equipped monster points to, you can destroy this card and all of those monsters, then, inflict damage to your opponent equal to the equipped monster's ATK before they were destroyed."
Ghost Belle & Haunted Mansion," Tuner Monster  Zombie  1800","When a card or effect is activated that includes any of these effects (Quick Effect): You can discard this card; negate that activation. ● Add a card(s) from the GY to the hand, Deck, and/or Extra Deck. ● Special Summon a Monster Card(s) from the GY. ● Banish a card(s) from the GY. You can only use this effect of ""Ghost Belle & Haunted Mansion"" once per turn."
Gouki Bearhug," Effect Monster  Warrior  2400","If this card is Special Summoned by the effect of a ""Gouki"" card, or Normal Summoned: You can target 1 face-up monster your opponent controls; its ATK becomes half its original ATK until the end of this turn. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Bearhug"". You can only use each effect of ""Gouki Bearhug"" once per turn."
Gouki Face Turn," Spell Card  Normal","Target 1 ""Gouki"" card you control and 1 ""Gouki"" monster in your GY; destroy that card on the field, and if you do, Special Summon that other monster from the GY. You can only activate 1 ""Gouki Face Turn"" per turn."
Gouki Octostretch," Effect Monster  Warrior","If your opponent's monster attacks, during damage calculation (Quick Effect): You can discard this card; the damage you take from that battle is halved. When your opponent activates an effect that would inflict damage to you (even during the Damage Step) (Quick Effect): You can discard this card; the damage you take from that effect is halved. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Octostretch"". You can only use this effect of ""Gouki Octostretch"" once per turn."
Gouki The Master Ogre," Link Monster  Warrior  2800","2+ ""Gouki"" monsters Once per turn (Quick Effect): You can return to the hand any number of ""Gouki"" monsters you control that this card points to, then target the same number of face-up cards your opponent controls; they have their effects negated until the end of this turn. This card can attack all monsters your opponent controls, once each. If your opponent controls a face-up monster(s), this card can only target their monster with the highest ATK for attacks (your choice, if tied)."
Greatfly," Link Monster  Insect  1400","2 WIND monsters All WIND monsters on the field gain 500 ATK/DEF, also all EARTH monsters on the field lose 400 ATK/DEF. If this card is destroyed by battle or card effect: You can target 1 WIND monster in your GY; add it to your hand. You can only use this effect of ""Greatfly"" once per turn."
Heartless Drop Off," Trap Card  Counter","When a face-up card(s) on the field and/or in the GY is added to your opponent's hand by an effect: Look at their hand, also banish the added card(s) and all cards with the same name, if any."
Infinite Impermanence," Trap Card  Normal","Target 1 face-up monster your opponent controls; negate its effects (until the end of this turn), then, if this card was Set before activation and is on the field at resolution, for the rest of this turn all other Spell/Trap effects in this column are negated. If you control no cards, you can activate this card from your hand."
Inzektor Picofalena," Link Monster  Insect  1000","2 Insect monsters If this card is Link Summoned: You can discard 1 card, then target 1 other Insect monster you control; equip 1 Insect monster from your Deck to it as an Equip Spell that gains this effect. ● The equipped monster gains 500 ATK/DEF. You can target 3 Insect monsters in your GY; shuffle them into the Deck, then draw 1 card. You can only use each effect of ""Inzektor Picofalena"" once per turn."
Iron Dragon Tiamaton," Effect Monster  Dragon  2000","Cannot be Normal Summoned/Set. Must be Special Summoned by the following effect. If 3 or more cards are in the same column (Quick Effect): You can Special Summon this card from your hand. You can only use this effect of ""Iron Dragon Tiamaton"" once per turn. If this card is Special Summoned: Destroy all other cards in this card's column. Neither player can use the unused zones in this card's column."
Kai-Den Kendo Spirit," Pendulum Effect Monster  Warrior  2400  1000","[ Pendulum Effect ] If a monster(s) is Pendulum Summoned: Return this card from the Pendulum Zone to the hand. ---------------------------------------- [ Monster Effect ] When this card is Normal Summoned: You can choose 1 card in your Pendulum Zone, and send to the GY all cards your opponent controls in the same column as that card. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return this card to the hand."
Knightmare Cerberus," Link Monster  Fiend  1600","2 monsters with different names If this card is Link Summoned: You can discard 1 card, then target 1 Special Summoned monster in your opponent's Main Monster Zone; destroy it, then, if this card was co-linked when this effect was activated, you can draw 1 card. You can only use this effect of ""Knightmare Cerberus"" once per turn. Co-linked monsters you control cannot be destroyed by card effects."
Knightmare Corruptor Iblee," Effect Monster  Cyberse","When this card is Normal Summoned: You can target 1 Link Monster in your GY; Special Summon it to your field so it points to this card, but change its ATK to 0, also negate its effects. You cannot Special Summon monsters, except Link Monsters. If this card in its owner's control is sent to the GY: You can Special Summon this card to your opponent's field in Defense Position. You can only use this effect of ""Knightmare Corruptor Iblee"" once per turn."
Knightmare Goblin," Link Monster  Fiend  1300","2 monsters with different names If this card is Link Summoned during your turn: You can discard 1 card; if this card was co-linked when this effect was activated, you can draw 1 card, also, during your Main Phase this turn, you can Normal Summon 1 monster from your hand to your zone this card points to, in addition to your Normal Summon/Set. You can only apply this effect of ""Knightmare Goblin"" once per turn. Neither player can target co-linked monsters you control with card effects."
